gene_symbol,Con1,Con2,Con3,Con4,Con5,Con6,Con7,Con8,RR1,RR2,RR3,RR4,RR5,RR6,RR7,RR8
LTB,3.93,1.1,0.0,0.0,0.0,0.0,0.06,0.06,2.68,4.04,0.06,0.26,0.06,0.06,0.0,0.0
VLDLR,12.56,0.98,13.51,13.14,14.09,26.82,26.76,27.38,4.66,12.39,25.21,20.92,23.33,21.73,22.39,21.53
C22orf15,0.39,0.04,0.0,0.0,0.05,0.0,0.14,0.06,0.24,0.09,0.14,0.08,0.06,0.08,0.0,0.0
DNAH14,4.52,0.08,0.18,0.3,0.08,0.1,0.19,0.22,1.56,0.63,0.04,0.11,0.1,0.31,0.05,0.2
DENND1C,3.1,1.61,0.0,0.0,0.0,0.08,0.02,0.0,4.37,7.11,0.0,0.0,0.0,0.0,0.0,0.0
CYP2F1,0.42,0.12,0.74,0.59,0.44,0.9,0.54,0.94,0.89,0.08,0.5,0.66,0.55,0.57,0.4,0.33
STON1-GTF2A1L,0.0,0.3,0.0,0.0,0.0,1.25,1.2,1.08,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.0
BAX,63.56,64.36,91.64,96.16,80.42,44.01,46.27,49.79,55.37,59.34,87.21,107.78,90.93,72.46,69.69,75.18
NUDCD2,4.48,4.62,3.59,3.2,3.09,5.72,6.18,5.44,4.29,4.41,3.28,4.36,3.17,3.97,4.01,3.73
RS1,0.05,0.23,0.0,0.0,0.03,0.03,0.05,0.02,0.34,0.07,0.03,0.0,0.0,0.0,0.0,0.02
USP41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK5RAP3,52.4,94.97,23.67,23.27,20.87,80.57,86.78,82.72,62.2,52.26,24.24,27.44,25.4,21.02,21.51,20.22
PKDREJ,0.09,0.05,0.01,0.01,0.0,0.03,0.04,0.05,0.2,0.05,0.03,0.0,0.0,0.01,0.03,0.01
SOD3,15.17,24.34,8.76,11.38,9.0,0.28,0.21,0.25,13.15,34.67,10.1,11.54,9.15,4.34,5.09,4.89
APBB1IP,14.28,14.48,0.05,0.33,0.1,0.0,0.04,0.02,21.36,35.41,0.26,0.07,0.07,0.06,0.04,0.08
